0.0, 176536.50097176433
1.0, 86221.45959734917
2.0, 54675.59489607811
3.0, 42871.749222278595
4.0, 31883.219808340073
5.0, 25312.775552272797
6.0, 42475.52973031998
7.0, 69950.91292262077
8.0, 131931.250333786
9.0, 258231.20317608118
10.0, 263059.1270327568
11.0, 133954.04662191868
12.0, 203915.56987166405
13.0, 173192.30630993843
14.0, 89023.74601364136
15.0, 46238.0935549736
16.0, 47910.76612472534
17.0, 73770.08709311485
18.0, 41683.80090594292
19.0, 19888.230621814728
20.0, 17852.048814296722
21.0, 8972.413122653961
22.0, 36601.200610399246
23.0, 52615.765661001205
24.0, 109416.0363972187
25.0, 299182.7965403181
26.0, 258577.5887680076
27.0, 178753.03089088498
28.0, 267942.3456437357
29.0, 39768.24037097086
30.0, 206892.64314945322
31.0, 29286.385784876526
32.0, 13827.64297714143
33.0, 29795.606193929183
34.0, 214416.0013391059
35.0, 105023.36705457793
36.0, 37400.43092784679
37.0, 22765.289545652053
38.0, 37566.5265331985
39.0, 142697.70335243025
40.0, 46992.384639306874
41.0, 247752.92919243517
42.0, 179195.61837048447
43.0, 51456.166135014835
44.0, 35779.55945353381
45.0, 235044.8252045682
46.0, 27637.720951476753
47.0, 15458.361014548704
48.0, 199906.6413068652
49.0, 22594.764646037293
50.0, 26480.145438723506
51.0, 104679.50530879051
52.0, 180008.7581018376
53.0, 162628.46120613205
54.0, 159499.42113780414
55.0, 152992.39769790514
56.0, 145459.93587042196
57.0, 184835.96682445306
58.0, 30429.176003184697
59.0, 55817.05691408294
60.0, 73491.00122354401
61.0, 27144.248739476374
62.0, 37405.37699052748
63.0, 43423.10288034996
64.0, 34404.237273254716
65.0, 34501.74571429982
66.0, 82598.68289708777
67.0, 19459.09841399674
68.0, 12326.459208226399
69.0, 79484.84037064001
70.0, 34073.319290887346
71.0, 25641.445684738017
72.0, 13590.353875359175
73.0, 25075.35872802827
74.0, 26555.399607530504
75.0, 19645.639267838003
76.0, 42743.674487768396
77.0, 103722.49911354354
78.0, 35383.72273446244
79.0, 38130.9440681964
80.0, 13055.832133696133
81.0, 13625.528155232398
82.0, 36137.12559061223
83.0, 14335.462788458542
84.0, 31481.27572298088
85.0, 67163.34913796668
86.0, 31240.025921520122
87.0, 13173.480362300132
88.0, 59468.62433592476
89.0, 17861.689796896506
90.0, 24877.627758122966
91.0, 71595.28396040686
92.0, 16795.592280356836
93.0, 14308.452979875861
94.0, 87086.9728610538
95.0, 26041.04685730866
96.0, 42509.57434077663
97.0, 41288.75226386306
98.0, 12487.827341413158
99.0, 33354.90395615314
100.0, 28984.30638188633
101.0, 37846.39624265234
102.0, 38165.28724605429
103.0, 49821.50446964372
104.0, 29850.698867392086
105.0, 50683.80696182331
106.0, 16444.529444053565
107.0, 31399.800805803992
108.0, 19234.876721988287
109.0, 26446.968221043455
110.0, 13270.311393990112
111.0, 16608.29134946225
112.0, 26997.54341536481
113.0, 28063.68977857115
114.0, 19000.903462425733
115.0, 22765.726990547584
116.0, 31367.498995368016
117.0, 39061.67329601919
118.0, 20769.749742290143
119.0, 38474.47615474743
120.0, 24335.707780082077
121.0, 25883.383001560625
122.0, 38047.374897959686
123.0, 33219.231616403646
124.0, 36557.98016730437
125.0, 15946.417335689077
126.0, 47854.850160393915
127.0, 26892.85515946168
128.0, 46443.10183112198
129.0, 11035.979043174926
130.0, 13414.121362828922
131.0, 50586.245613496474
132.0, 47170.49770718001
133.0, 15541.951811478051
134.0, 26404.645179217725
135.0, 27982.738841048336
136.0, 23835.93868504081
137.0, 54397.54039759272
138.0, 14775.995676165243
139.0, 30971.849116768673
140.0, 68341.62448929831
141.0, 46550.318339056525
142.0, 27391.62819418044
143.0, 19375.65289329898
144.0, 11739.208805302314
145.0, 59980.98781977261
146.0, 25064.02178479928
147.0, 34439.142796230146
148.0, 27095.25890012223
149.0, 66611.58785670203
150.0, 39611.65584415675
151.0, 18960.971739591878
152.0, 35393.14689876979
153.0, 17677.719150130695
154.0, 21527.955322102298
155.0, 12769.678656250515
156.0, 31119.08595576427
157.0, 35617.19483996892
158.0, 31398.317531877536
159.0, 54516.10630382715
160.0, 35993.948573515016
161.0, 11077.756382455624
162.0, 25208.654219002794
163.0, 47993.32461123557
164.0, 38247.719394794454
165.0, 15841.457995336083
166.0, 15473.240118767793
167.0, 22182.197159878575
168.0, 15417.088034571454
169.0, 19765.767140690725
170.0, 45357.228713797565
171.0, 45413.836793378665
172.0, 12879.706357191199
173.0, 11451.329817044565
174.0, 17061.88990499632
175.0, 36033.7366431218
176.0, 11054.511745347085
177.0, 45621.91149271587
178.0, 46711.12311976964
179.0, 19134.65610400658
180.0, 15697.090669336418
181.0, 26230.89200475442
182.0, 49031.02887149446
183.0, 21643.53204557605
184.0, 40713.39212292514
185.0, 45245.97308258451
186.0, 53821.90962606496
187.0, 23749.420945457394
188.0, 64094.71787030376
189.0, 59474.83949551648
190.0, 23684.120109225176
191.0, 103279.9941683391
192.0, 22375.537216019722
193.0, 10861.294061252256
194.0, 11985.814735940454
195.0, 26101.01530403647
196.0, 59103.74598289324
197.0, 34913.635772385394
198.0, 55080.3774317161
199.0, 24619.881295884312
200.0, 21836.196049584512
201.0, 34232.59061451599
202.0, 59361.956548636546
203.0, 89517.53191107504
204.0, 26794.764898119163
205.0, 45788.943575660036
206.0, 61113.08144650431
207.0, 19109.911482651285
208.0, 43784.97238198832
209.0, 18296.505785481124
210.0, 46762.50394195715
211.0, 108065.5510777421
212.0, 44985.35544812135
213.0, 12288.382936063594
214.0, 41932.44396661194
